Country/Region,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia
Lat,33,41.1533,28.0339,42.5063,-11.2027,17.0608,-38.4161,40.0691
Long,65,20.1683,1.6596,1.5218,17.8739,-61.7964,-63.6167,45.0382
1/22/20,0,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0,0
02-01-2020,0,0,0,0,0,0,0,0
02-02-2020,0,0,0,0,0,0,0,0
02-03-2020,0,0,0,0,0,0,0,0
02-04-2020,0,0,0,0,0,0,0,0
02-05-2020,0,0,0,0,0,0,0,0
02-06-2020,0,0,0,0,0,0,0,0
02-07-2020,0,0,0,0,0,0,0,0
02-08-2020,0,0,0,0,0,0,0,0
02-09-2020,0,0,0,0,0,0,0,0
02-10-2020,0,0,0,0,0,0,0,0
02-11-2020,0,0,0,0,0,0,0,0
02-12-2020,0,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0,0
2/27/20,0,0,0,0,0,0,0,0
2/28/20,0,0,0,0,0,0,0,0
2/29/20,0,0,0,0,0,0,0,0
03-01-2020,0,0,0,0,0,0,0,0
03-02-2020,0,0,0,0,0,0,0,0
03-03-2020,0,0,0,0,0,0,0,0
03-04-2020,0,0,0,0,0,0,0,0
03-05-2020,0,0,0,0,0,0,0,0
03-06-2020,0,0,0,0,0,0,0,0
03-07-2020,0,0,0,0,0,0,0,0
03-08-2020,0,0,0,0,0,0,0,0
03-09-2020,0,0,0,0,0,0,0,0
03-10-2020,0,0,0,0,0,0,0,0
03-11-2020,0,0,0,0,0,0,0,0
03-12-2020,0,0,8,1,0,0,0,0
3/13/20,0,0,8,0,0,0,0,0
3/14/20,0,0,12,1,0,0,1,0
3/15/20,0,0,12,1,0,0,1,0
3/16/20,1,0,12,1,0,0,1,0
3/17/20,1,0,12,1,0,0,3,1
3/18/20,1,0,12,1,0,0,3,1
3/19/20,1,0,32,1,0,0,3,1
3/20/20,1,0,32,1,0,0,3,1
3/21/20,1,2,32,1,0,0,3,1
3/22/20,1,2,65,1,0,0,3,2
3/23/20,1,2,65,1,0,0,3,2
3/24/20,1,10,24,1,0,0,52,14
3/25/20,2,17,65,1,0,0,52,16
3/26/20,2,17,29,1,0,0,63,18
3/27/20,2,31,29,1,0,0,72,28
3/28/20,2,31,31,1,0,0,72,30
3/29/20,2,33,31,1,0,0,72,30
3/30/20,2,44,37,10,0,0,228,30
3/31/20,5,52,46,10,1,0,240,30
04-01-2020,5,67,61,10,1,0,248,31
04-02-2020,10,76,61,10,1,0,256,33
04-03-2020,10,89,62,16,1,0,266,43
04-04-2020,10,99,90,21,2,0,279,43
04-05-2020,15,104,90,26,2,0,280,57
04-06-2020,18,116,90,31,2,0,325,62
04-07-2020,18,131,113,39,2,0,338,87
04-08-2020,29,154,237,52,2,0,358,114
04-09-2020,32,165,347,58,2,0,365,138
04-10-2020,32,182,405,71,2,0,375,149
04-11-2020,32,197,460,71,4,0,440,173
